"Famyli"	"Fitogeography_origin"	"Genus_and_species"	"n_MF1"	"n_MF2"	"n_MF3"	"n_MF4"	"n_MF5"	"n_MF6"	"biomass_total_MF1 (Mg)"	"biomass_total_MF2(Mg)"	"biomass_total_MF3 (Mg)"	"biomass_total_MF4 (Mg)"	"biomass_total_MF5 (Mg)"	"biomass_total_MF6 (Mg)"
"161"	"Meliaceae"	"Trop"	"Guarea macrophylla"	NA	0,0149918406131034	NA	NA	NA	NA	NA	1	NA	NA	NA	NA
"162"	"Meliaceae"	"Trop"	"Trichilia catigua"	NA	1,60176644229604	NA	NA	NA	NA	NA	50	NA	NA	NA	NA
"163"	"Meliaceae"	"Trop"	"Trichilia claussenii"	NA	1,00921345678069	NA	NA	NA	NA	NA	22	NA	NA	NA	NA
"164"	"Meliaceae"	"Trop"	"Trichilia elegans"	0,0336956788031053	0,135262100778935	NA	NA	NA	NA	3	7	NA	NA	NA	NA
"165"	"Meliaceae"	"Trop"	"Trichilia pallida"	NA	0,0221491529510822	NA	NA	NA	NA	NA	2	NA	NA	NA	NA
"166"	"Monimiaceae"	"Trop"	"Mollinedia argyrogyna"	NA	0,0750447613795334	NA	NA	0,0244247817848065	NA	NA	2	NA	NA	2	NA
"167"	"Monimiaceae"	"Trop"	"Mollinedia elegans"	NA	0,379776212198732	NA	NA	NA	NA	NA	22	NA	NA	NA	NA
"168"	"Monimiaceae"	"Trop"	"Mollinedia schottiana"	NA	0,00862385700343224	NA	NA	NA	NA	NA	1	NA	NA	NA	NA
"169"	"Moraceae"	"Trop"	"Ficus luschnathiana"	NA	0,187426148621536	NA	NA	NA	NA	NA	2	NA	NA	NA	NA
"170"	"Moraceae"	"Trop"	"Ficus sp."	0,047378563165924	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA
"171"	"Moraceae"	"Trop"	"Sorocea bonplandii"	0,0223282642469083	9,17438508354996	NA	NA	0,342615632405757	NA	1	187	NA	NA	14	NA
"172"	"Myrtaceae"	"Trop"	"Blepharocalyx salicifolius"	NA	NA	NA	NA	0,359038413989788	NA	NA	NA	NA	NA	7	NA
"173"	"Myrtaceae"	"Trop"	"Campomanesia eugenioides"	NA	NA	NA	NA	0,0736303468768398	NA	NA	NA	NA	NA	2	NA
"174"	"Myrtaceae"	"Trop"	"Campomanesia guazumifolia"	NA	1,30448611218073	NA	NA	0,420410776470927	NA	NA	15	NA	NA	14	NA
"175"	"Myrtaceae"	"Trop"	"Campomanesia sp."	0,0252797841848875	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA
"176"	"Myrtaceae"	"Trop"	"Campomanesia sp.2"	0,369284435079859	NA	NA	NA	NA	NA	8	NA	NA	NA	NA	NA
"177"	"Myrtaceae"	"Trop"	"Campomanesia xanthocarpa"	4,37837779016939	0,47777724378092	NA	NA	NA	NA	49	4	NA	NA	NA	NA
"178"	"Myrtaceae"	"Trop"	"Eugenia (laranja)"	NA	NA	NA	NA	0,493705373618068	NA	NA	NA	NA	NA	1	NA
"179"	"Myrtaceae"	"Trop"	"Eugenia (miuda, branca)"	NA	NA	NA	NA	0,0163576312767241	NA	NA	NA	NA	NA	1	NA
"180"	"Myrtaceae"	"Trop"	"Eugenia cerasiflora"	2,79726432849095	NA	NA	NA	NA	NA	37	NA	NA	NA	NA	NA
"181"	"Myrtaceae"	"Trop"	"Eugenia dodonaeifolia"	NA	0,16440602621505	NA	NA	NA	NA	NA	5	NA	NA	NA	NA
"182"	"Myrtaceae"	"Trop"	"Eugenia involucrata"	1,11515781682616	NA	NA	NA	0,0403742847268764	NA	26	NA	NA	NA	1	NA
"183"	"Myrtaceae"	"Trop"	"Eugenia ligustrina"	0,338312943356176	4,31736633340522	0,180940856949737	NA	0,897960883093753	NA	9	102	2	NA	16	NA
"184"	"Myrtaceae"	"Trop"	"Eugenia neoverrucosa"	2,77019323473785	NA	NA	NA	NA	NA	85	NA	NA	NA	NA	NA
"185"	"Myrtaceae"	"Trop"	"Eugenia pluriflora"	NA	NA	NA	NA	3,06164926448148	NA	NA	NA	NA	NA	106	NA
"186"	"Myrtaceae"	"Trop"	"Eugenia prasina"	0,0217621487646208	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA
"187"	"Myrtaceae"	"Trop"	"Eugenia ramboi"	NA	0,750804640944014	NA	NA	4,98399999694585	NA	NA	3	NA	NA	76	NA
"188"	"Myrtaceae"	"Trop"	"Eugenia sp."	NA	NA	NA	NA	0,0481335914121239	NA	NA	NA	NA	NA	1	NA
"189"	"Myrtaceae"	"Trop"	"Eugenia sp.2"	0,226749869696875	NA	NA	NA	NA	NA	7	NA	NA	NA	NA	NA
"190"	"Myrtaceae"	"Trop"	"Eugenia sp.7"	NA	NA	NA	NA	0,152551600716341	NA	NA	NA	NA	NA	3	NA
"191"	"Myrtaceae"	"Trop"	"Eugenia speciosa"	0,0115536783101735	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA
"192"	"Myrtaceae"	"Trop"	"Eugenia stenophylla"	NA	2,69038965647776	NA	NA	NA	NA	NA	26	NA	NA	NA	NA
"193"	"Myrtaceae"	"Trop"	"Eugenia uniflora"	NA	0,099455116821922	NA	NA	NA	NA	NA	5	NA	NA	NA	NA
"194"	"Myrtaceae"	"Trop"	"Myciaria tenella"	NA	NA	0,0154478540683123	NA	NA	NA	NA	NA	1	NA	NA	NA
"195"	"Myrtaceae"	"Temp"	"Myrceugenia bracteosa"	NA	NA	NA	NA	NA	21,6138138665372	NA	NA	NA	NA	NA	498
"196"	"Myrtaceae"	"Temp"	"Myrceugenia brevipedicellata"	0,132793873656521	NA	0,066908634501008	NA	NA	NA	5	NA	3	NA	NA	NA
"197"	"Myrtaceae"	"Temp"	"Myrceugenia campestris"	0,307303558379526	NA	NA	NA	NA	NA	13	NA	NA	NA	NA	NA
"198"	"Myrtaceae"	"Temp"	"Myrceugenia miersiana"	NA	NA	23,71073901277	1,46584824605535	0,238829374891756	NA	NA	NA	411	30	10	NA
"199"	"Myrtaceae"	"Temp"	"Myrceugenia ovata"	NA	NA	0,113513895907917	NA	NA	NA	NA	NA	4	NA	NA	NA
"200"	"Myrtaceae"	"Temp"	"Myrceugenia regnelliana"	NA	NA	NA	NA	NA	0,338208724407924	NA	NA	NA	NA	NA	32
"201"	"Myrtaceae"	"Temp"	"Myrceugenia rufescens"	NA	NA	9,26169348078966	20,6839984150342	0,37403396705704	NA	NA	NA	52	69	13	NA
"202"	"Myrtaceae"	"Temp"	"Myrceugenia scutellata"	NA	NA	NA	NA	0,0116597889789819	NA	NA	NA	NA	NA	1	NA
"203"	"Myrtaceae"	"Temp"	"Myrceugenia sp. 2"	NA	NA	1,55667315019163	NA	NA	NA	NA	NA	20	NA	NA	NA
"204"	"Myrtaceae"	"Trop"	"Myrcia (=1475 coletado)"	NA	NA	0,0398143984277387	NA	NA	NA	NA	NA	2	NA	NA	NA
"205"	"Myrtaceae"	"Trop"	"Myrcia aethusa"	NA	NA	NA	NA	0,0268511305569326	NA	NA	NA	NA	NA	1	NA
"206"	"Myrtaceae"	"Trop"	"Myrcia bicarinata"	NA	NA	NA	NA	0,970847075106129	NA	NA	NA	NA	NA	17	NA
"207"	"Myrtaceae"	"Trop"	"Myrcia glomerata"	NA	NA	NA	0,14375949573888	0,785209987436625	NA	NA	NA	NA	2	22	NA
"208"	"Myrtaceae"	"Trop"	"Myrcia guianensis"	NA	NA	NA	NA	2,73322430335585	0,0502597035155929	NA	NA	NA	NA	51	2
"209"	"Myrtaceae"	"Trop"	"Myrcia hartwegiana"	NA	NA	4,53050503524493	6,99709864132296	0,196964245872895	NA	NA	NA	167	112	13	NA
"210"	"Myrtaceae"	"Trop"	"Myrcia loranthifolia"	NA	0,0396488642228572	NA	NA	NA	NA	NA	3	NA	NA	NA	NA
"211"	"Myrtaceae"	"Trop"	"Myrcia multiflora"	1,29326646650512	0,323718797935995	NA	NA	0,0168942100429712	NA	32	7	NA	NA	1	NA
"212"	"Myrtaceae"	"Trop"	"Myrcia neolucida"	NA	NA	1,26031342141803	NA	NA	NA	NA	NA	6	NA	NA	NA
"213"	"Myrtaceae"	"Trop"	"Myrcia retorta"	NA	NA	8,89563811030084	0,0435630916989145	NA	NA	NA	NA	35	1	NA	NA
"214"	"Myrtaceae"	"Trop"	"Myrcia selloi"	NA	0,103819573505045	7,29580148453744	NA	5,43171031168431	6,24651442371721	NA	3	64	NA	114	146
"215"	"Myrtaceae"	"Trop"	"Myrcia sp."	NA	NA	NA	NA	0,014676406611357	NA	NA	NA	NA	NA	1	NA
"216"	"Myrtaceae"	"Trop"	"Myrcia splendens"	0,105187592995217	0,155588151656823	0,061361740741518	0,00940537600400814	0,526751961122099	NA	2	4	3	1	16	NA
"217"	"Myrtaceae"	"Trop"	"Myrcia subcordata"	NA	0,0624204726802787	NA	0,00772014300446572	6,47945602739099	0,811627816646256	NA	1	NA	1	62	22
"218"	"Myrtaceae"	"Trop"	"Myrcia tenuivenosa"	0,00969571204270323	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA
"219"	"Myrtaceae"	"Trop"	"Myrcia tomentosa"	0,374667558919812	NA	NA	NA	NA	NA	14	NA	NA	NA	NA	NA
"220"	"Myrtaceae"	"Trop"	"Myrcia venulosa"	NA	NA	NA	NA	1,20521161384386	0,948025271669149	NA	NA	NA	NA	14	40
"221"	"Myrtaceae"	"Trop"	"Myrciaria tenella"	NA	NA	0,35624924717643	NA	NA	NA	NA	NA	22	NA	NA	NA
"222"	"Myrtaceae"	"Trop"	"Neomitranthes pedicellata"	NA	NA	NA	NA	0,461838427292787	NA	NA	NA	NA	NA	12	NA
"223"	"Myrtaceae"	"Trop"	"Neomitranthes sp"	NA	NA	NA	0,21948923666696	NA	NA	NA	NA	NA	4	NA	NA
"224"	"Myrtaceae"	"Trop"	"Pimenta pseudocaryophyllus"	NA	NA	0,0100758123062754	NA	NA	0,32562056496614	NA	NA	1	NA	NA	4
"225"	"Myrtaceae"	"Trop"	"Plinia peruviana"	NA	0,0107356907281922	NA	NA	NA	NA	NA	1	NA	NA	NA	NA
"226"	"Myrtaceae"	"Trop"	"Plinia rivularis"	NA	0,230816201944132	NA	NA	0,0549328733547701	NA	NA	6	NA	NA	1	NA
"227"	"Myrtaceae"	"Trop"	"Psidium sp."	NA	NA	NA	NA	0,212374606237058	NA	NA	NA	NA	NA	3	NA
"228"	"Myrtaceae"	"Trop"	"Psidum sp.1"	0,0155733774671068	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA
"229"	"Myrtaceae"	"Trop"	"Siphoneugena crassifolia"	NA	NA	NA	NA	NA	0,167461039851653	NA	NA	NA	NA	NA	10
"230"	"Myrtaceae"	"Trop"	"Siphoneugena densiflora"	NA	NA	NA	NA	0,112669304807874	NA	NA	NA	NA	NA	6	NA
"231"	"Myrtaceae"	"Trop"	"Siphoneugena reitzii"	NA	NA	0,125035431712121	0,111735674480209	0,0335122736636686	NA	NA	NA	9	10	1	NA
"232"	"Nyctaginaceae"	"Trop"	"Guapira opposita"	3,13236244108473	0,016830142311605	NA	NA	0,016265392854554	NA	6	3	NA	NA	1	NA
"233"	"Olacaceae"	"Trop"	"Tetrastylidium grandifolium"	0,0370450919899374	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA
"234"	"Oleaceae"	"Trop"	"Chionanthus filiformis"	NA	0,236499849055909	NA	NA	NA	NA	NA	7	NA	NA	NA	NA
"235"	"Opiliaceae"	"Trop"	"Agonandra brasiliensis"	NA	1,38240748041714	NA	NA	NA	NA	NA	6	NA	NA	NA	NA
"236"	"Pentaphylacaceae"	"Trop"	"Ternstroemia brasiliensis"	NA	NA	NA	NA	NA	0,326626736292198	NA	NA	NA	NA	NA	4
"237"	"Peraceae"	"Trop"	"Pera glabrata"	NA	0,73072732692316	NA	NA	NA	NA	NA	2	NA	NA	NA	NA
"238"	"Phytolaccaceae"	"Trop"	"Seguieria langsdorffii"	NA	0,127951982456727	NA	NA	NA	NA	NA	2	NA	NA	NA	NA
"239"	"Picramniaceae"	"Trop"	"Picramnia glazioviana"	NA	NA	0,0996754362124385	NA	NA	NA	NA	NA	2	NA	NA	NA
"240"	"Picramniaceae"	"Trop"	"Picramnia parvifolia"	NA	NA	0,61447027884879	NA	0,104955863167268	NA	NA	NA	22	NA	2	NA
"241"	"Picramniaceae"	"Trop"	"Picramnia sellowii"	0,00689949621684815	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA
"242"	"Picramniaceae"	"Trop"	"Picramnia sp"	NA	NA	0,104947239201883	NA	NA	NA	NA	NA	4	NA	NA	NA
"243"	"Picramniaceae"	"Trop"	"Picramnia sp.2"	0,0885607178104494	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA
"244"	"Podocarpaceae"	"Temp"	"Podocarpus lambertii"	NA	NA	92,9404481835232	33,4998520257434	6,64489299441514	118,480246396352	NA	NA	53	59	34	478
"245"	"Polygonaceae"	"Trop"	"Coccoloba warmingii"	1,74357654143804	NA	NA	NA	NA	NA	16	NA	NA	NA	NA	NA
"246"	"Primulaceae"	"Trop"	"Myrsine coriacea"	NA	NA	1,3785073544856	NA	NA	0,704720643529841	NA	NA	6	NA	NA	12
"247"	"Primulaceae"	"Trop"	"Myrsine gardneriana"	NA	NA	NA	NA	NA	1,51498619145058	NA	NA	NA	NA	NA	14
"248"	"Primulaceae"	"Trop"	"Myrsine lancifolia"	NA	NA	NA	NA	NA	1,07007890400468	NA	NA	NA	NA	NA	10
"249"	"Primulaceae"	"Trop"	"Myrsine loefgrenii"	NA	0,223699241081995	NA	NA	NA	NA	NA	7	NA	NA	NA	NA
"250"	"Primulaceae"	"Trop"	"Myrsine umbellata"	0,171547790688827	0,199771306141322	16,6762718741652	6,31155798498611	1,89780074162259	11,9690827316629	11	4	106	80	44	210
"251"	"Proteaceae"	"Trop"	"Roupala brasiliensis"	1,21471011773847	NA	NA	NA	NA	NA	9	NA	NA	NA	NA	NA
"252"	"Proteaceae"	"Trop"	"Roupala montana"	NA	NA	0,0117907977042308	0,00749008019625501	2,5314705012398	NA	NA	NA	1	1	60	NA
"253"	"Rhamnaceae"	"Trop"	"Colubrina glandulosa"	NA	0,198663004306808	NA	NA	NA	NA	NA	2	NA	NA	NA	NA
"254"	"Rhamnaceae"	"Temp"	"Frangula sphaerosperma"	NA	NA	0,189992056427488	0,687570748113824	0,036561554500479	0,115849141850495	NA	NA	6	10	3	10
"255"	"Rhamnaceae"	"Trop"	"Rhamnidium elaeocarpum"	NA	0,165239054930226	NA	NA	NA	NA	NA	7	NA	NA	NA	NA
"256"	"Rosaceae"	"Temp"	"Prunus myrtifolia"	9,46581144930089	0,424507819018852	12,6598488682771	5,35409741560829	1,5285961107143	0,967169123124328	40	10	94	74	23	16
"257"	"Rubiaceae"	"Trop"	"Amaioua intermedia"	NA	0,0502694303083037	NA	NA	NA	NA	NA	1	NA	NA	NA	NA
"258"	"Rubiaceae"	"Trop"	"Chomelia obtusa"	NA	0,0775125031808979	NA	NA	NA	NA	NA	3	NA	NA	NA	NA
"259"	"Rubiaceae"	"Trop"	"Cordiera concolor"	NA	0,154914729211824	NA	NA	NA	NA	NA	7	NA	NA	NA	NA
"260"	"Rubiaceae"	"Trop"	"Cordiera myrciifolia"	0,0850646699720518	0,0283900315540626	NA	NA	NA	NA	9	3	NA	NA	NA	NA
"261"	"Rubiaceae"	"Trop"	"Cordiera myricifolia"	NA	NA	NA	0,0452194540025622	NA	NA	NA	NA	NA	5	NA	NA
"262"	"Rubiaceae"	"Trop"	"Coutarea hexandra"	0,0592861096639001	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA
"263"	"Rubiaceae"	"Trop"	"Faramea montevidensis"	NA	0,374179195184039	NA	NA	NA	NA	NA	28	NA	NA	NA	NA
"264"	"Rubiaceae"	"Trop"	"Faramea sp."	NA	NA	NA	NA	0,859091536937296	NA	NA	NA	NA	NA	28	NA
"265"	"Rubiaceae"	"Trop"	"Ixora venulosa"	NA	0,0277074138225633	NA	NA	NA	NA	NA	2	NA	NA	NA	NA
"266"	"Rubiaceae"	"Trop"	"Palicourea sessilis"	0,213323824827162	NA	0,00543713160550199	NA	0,542518229958492	NA	14	NA	1	NA	65	NA
"267"	"Rubiaceae"	"Trop"	"Psychotria suterella"	NA	0,116213288283843	NA	NA	NA	NA	NA	10	NA	NA	NA	NA
"268"	"Rubiaceae"	"Trop"	"Rudgea gardenoides"	NA	NA	NA	NA	0,025131483164044	NA	NA	NA	NA	NA	1	NA
"269"	"Rubiaceae"	"Trop"	"Rudgea jasminoides"	NA	1,25584197345083	NA	NA	0,273162433759737	NA	NA	54	NA	NA	23	NA
"270"	"Rubiaceae"	"Trop"	"Rudgea triflora"	NA	NA	NA	0,268328672212813	NA	NA	NA	NA	NA	22	NA	NA
"271"	"Rutaceae"	"Trop"	"Helietta apiculata"	NA	4,75546063138068	NA	NA	NA	NA	NA	10	NA	NA	NA	NA
"272"	"Rutaceae"	"Trop"	"Pilocarpus pennatifolius"	NA	0,84729148054295	NA	NA	NA	NA	NA	17	NA	NA	NA	NA
"273"	"Rutaceae"	"Trop"	"Zanthoxylum caribaeum"	NA	0,0921524833999776	NA	NA	NA	NA	NA	4	NA	NA	NA	NA
"274"	"Rutaceae"	"Trop"	"Zanthoxylum fagara"	NA	0,854594240692806	NA	NA	NA	NA	NA	1	NA	NA	NA	NA
"275"	"Rutaceae"	"Trop"	"Zanthoxylum monogynum"	NA	1,31420913676742	NA	NA	NA	NA	NA	6	NA	NA	NA	NA
"276"	"Rutaceae"	"Trop"	"Zanthoxylum rhoifolium"	NA	NA	0,759449242684399	NA	0,0492752265701991	NA	NA	NA	3	NA	5	NA
"277"	"Sabiaceae"	"Trop"	"Meliosma sp."	0,00451402364292487	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA
"278"	"Salicaceae"	"Trop"	"Casearia decandra"	1,07543996167591	0,045690788036089	0,0575762986980849	0,00676993049009614	0,539683665170287	NA	23	3	2	1	19	NA
"279"	"Salicaceae"	"Trop"	"Casearia gossypiosperma"	NA	7,45138024229709	NA	NA	NA	NA	NA	16	NA	NA	NA	NA
"280"	"Salicaceae"	"Trop"	"Casearia lasiophylla"	0,0596613068527986	NA	NA	NA	0,0179144864231019	NA	1	NA	NA	NA	2	NA
"281"	"Salicaceae"	"Trop"	"Casearia obliqua"	0,552217788571395	1,02205440314962	NA	NA	1,58353360231786	NA	4	8	NA	NA	8	NA
"282"	"Salicaceae"	"Trop"	"Casearia sylvestris"	4,60348717141079	4,34702761954352	NA	NA	1,38472649244786	NA	44	29	NA	NA	42	NA
"283"	"Salicaceae"	"Trop"	"Prockia crucis"	0,0331655256168472	0,234025950834221	NA	NA	NA	NA	3	5	NA	NA	NA	NA
"284"	"Salicaceae"	"Trop"	"Xylosma ciliatifolia"	0,0197837657628551	NA	NA	NA	0,562320268666222	NA	2	NA	NA	NA	6	NA
"285"	"Salicaceae"	"Trop"	"Xylosma tweediana"	NA	4,50653248876202	NA	NA	NA	NA	NA	9	NA	NA	NA	NA
"286"	"Sapindaceae"	"Trop"	"Allophylus edulis"	0,793272830366287	1,87405136540649	NA	NA	0,233444260743968	1,47607978176935	85	20	NA	NA	8	40
"287"	"Sapindaceae"	"Trop"	"Cupania oblongifolia"	6,50829032254457	NA	NA	NA	NA	NA	103	NA	NA	NA	NA	NA
"288"	"Sapindaceae"	"Trop"	"Cupania tenuivalvis"	NA	0,332342058089337	NA	NA	NA	NA	NA	8	NA	NA	NA	NA
"289"	"Sapindaceae"	"Trop"	"Cupania vernalis"	0,757254696779886	0,0393902505423648	NA	NA	NA	NA	10	1	NA	NA	NA	NA
"290"	"Sapindaceae"	"Trop"	"Diatenopteryx sorbifolia"	NA	9,79074641957665	NA	NA	NA	NA	NA	7	NA	NA	NA	NA
"291"	"Sapindaceae"	"Trop"	"Matayba elaeagnoides"	66,1568852317933	16,7194226995252	NA	NA	31,0368872360705	NA	163	30	NA	NA	394	NA
"292"	"Sapotaceae"	"Trop"	"Chrysophyllum gonocarpum"	NA	0,269762507340538	NA	NA	NA	NA	NA	5	NA	NA	NA	NA
"293"	"Sapotaceae"	"Trop"	"Chrysophyllum marginatum"	1,36602559889816	0,143244491197388	NA	NA	NA	NA	10	1	NA	NA	NA	NA
"294"	"Sapotaceae"	"Trop"	"Pouteria gardneri"	0,180615644383101	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA
"295"	"Sapotaceae"	"Trop"	"Pouteria gardneriana"	NA	0,128112698984558	NA	NA	NA	NA	NA	1	NA	NA	NA	NA
"296"	"Simaroubaceae"	"Temp"	"Picrasma crenata"	NA	NA	NA	NA	0,0456562006968928	NA	NA	NA	NA	NA	1	NA
"297"	"Solanaceae"	"Trop"	"Cestrum intermedium"	NA	0,0306815617495096	NA	NA	NA	NA	NA	1	NA	NA	NA	NA
"298"	"Solanaceae"	"Trop"	"Solanum (=231)"	NA	NA	0,179577250585679	NA	NA	NA	NA	NA	1	NA	NA	NA
"299"	"Solanaceae"	"Trop"	"Solanum argentum"	NA	0,00622136692825811	NA	NA	NA	NA	NA	1	NA	NA	NA	NA
"300"	"Solanaceae"	"Trop"	"Solanum bullatum"	NA	0,2526558925755	NA	NA	0,204247032536649	NA	NA	1	NA	NA	3	NA
"301"	"Solanaceae"	"Trop"	"Solanum concinnum"	NA	NA	NA	0,0267421316759845	NA	NA	NA	NA	NA	1	NA	NA
"302"	"Solanaceae"	"Trop"	"Solanum mauritianum"	NA	NA	0,0275345925990199	NA	NA	NA	NA	NA	5	NA	NA	NA
"303"	"Solanaceae"	"Trop"	"Solanum pseudoquina"	0,0376021327916566	0,0172712837127186	0,0855121311090259	NA	NA	NA	4	1	4	NA	NA	NA
"304"	"Solanaceae"	"Trop"	"Solanum rufescens"	0,5828183692701	NA	NA	NA	NA	NA	16	NA	NA	NA	NA	NA
"305"	"Solanaceae"	"Trop"	"Solanum sanctae-catharinae"	NA	0,251729616486814	NA	NA	NA	NA	NA	12	NA	NA	NA	NA
"306"	"Solanaceae"	"Trop"	"Solanum swartzianum"	NA	0,092416166413075	0,0133775167865201	2,0798890627484	NA	NA	NA	1	1	30	NA	NA
"307"	"Styracaceae"	"Temp"	"Styrax camporum"	NA	0,0900525342510276	NA	NA	NA	NA	NA	1	NA	NA	NA	NA
"308"	"Styracaceae"	"Temp"	"Styrax leprosus"	NA	NA	0,112108260741219	NA	NA	0,11378094137426	NA	NA	6	NA	NA	8
"309"	"Styracaceae"	"Temp"	"Styrax pohlii"	NA	0,0372741947843126	NA	NA	NA	NA	NA	3	NA	NA	NA	NA
"310"	"Symplocaceae"	"Trop"	"Symplocos celastrinea"	NA	NA	0,00898433020188081	NA	NA	0,0191066764265416	NA	NA	1	NA	NA	2
"311"	"Symplocaceae"	"Trop"	"Symplocos estrellensis"	0,112515167075787	NA	0,0196821586223467	3,66773113614309	NA	NA	3	NA	2	108	NA	NA
"312"	"Symplocaceae"	"Trop"	"Symplocos falcata"	NA	NA	1,90564251181734	2,10697550165716	0,0756303452677943	0,397875991604746	NA	NA	67	67	3	20
"313"	"Symplocaceae"	"Trop"	"Symplocos insignis"	NA	0,00800957427774443	NA	NA	7,35976804778505	NA	NA	1	NA	NA	21	NA
"314"	"Symplocaceae"	"Trop"	"Symplocos pubescens"	0,00592149879016158	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA
"315"	"Symplocaceae"	"Trop"	"Symplocos revoluta"	NA	NA	NA	NA	10,2583799780054	NA	NA	NA	NA	NA	23	NA
"316"	"Thymelaeaceae"	"Trop"	"Daphnopsis sellowiana"	NA	NA	NA	NA	0,00674699344525796	NA	NA	NA	NA	NA	1	NA
"317"	"Urticaceae"	"Trop"	"Cecropia glaziovii"	NA	0,515217662675696	NA	NA	NA	NA	NA	2	NA	NA	NA	NA
"318"	"Urticaceae"	"Trop"	"Cecropia pachystachya"	NA	0,017765641825322	NA	NA	NA	NA	NA	1	NA	NA	NA	NA
"319"	"Vochysiaceae"	"Trop"	"Callisthene fasciculata"	NA	NA	0,0108051138428248	NA	NA	NA	NA	NA	1	NA	NA	NA
"320"	"Vochysiaceae"	"Trop"	"Vochysia bifalcata"	0,0201063394590862	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA
"321"	"Vochysiaceae"	"Trop"	"Vochysia magnifica"	NA	0,287379735168512	NA	NA	NA	NA	NA	3	NA	NA	NA	NA
"322"	"Vochysiaceae"	"Trop"	"Vochysia saldanhana"	NA	NA	NA	NA	0,136672747776574	NA	NA	NA	NA	NA	5	NA
"323"	"Winteraceae"	"Temp"	"Drimys brasiliensis"	NA	NA	6,83159082990914	27,2551135308218	0,580965681637652	0,503704209966597	NA	NA	214	420	1	40
